run_at,loader,slices,load_s,constraints_s,total_s,rows_per_s,status,artists,albums,tracks,playlists,playlist_tracks,rep
2026-09-22T15:54:29+00:00,01_sql,100,96.5,42.8,139.4,69177,OK,110063,271413,681805,100000,6677800,1
2026-09-22T15:59:07+00:00,02_py_sequential,100,242.7,34.8,277.5,27517,OK,110063,271413,681805,100000,6677800,1
2026-09-22T16:00:21+00:00,03_py_copy,100,32.5,41.6,74.1,205463,OK,110063,271413,681805,100000,6677800,1
2026-09-22T16:01:23+00:00,04_multiproc,100,19.0,42.4,61.5,350684,OK,110063,271413,681805,100000,6677800,1
2026-09-22T16:03:07+00:00,07_spark,100,61.7,42.0,103.6,108300,OK,110063,271413,681805,100000,6677800,1
2026-09-22T16:05:18+00:00,01_sql,100,90.0,41.1,131.1,74230,OK,110063,271413,681805,100000,6677800,2
2026-09-22T16:10:02+00:00,02_py_sequential,100,245.1,38.1,283.2,27240,OK,110063,271413,681805,100000,6677800,2
2026-09-22T16:11:18+00:00,03_py_copy,100,32.2,44.0,76.2,207688,OK,110063,271413,681805,100000,6677800,2
2026-09-22T16:12:20+00:00,04_multiproc,100,18.6,42.0,60.7,358220,OK,110063,271413,681805,100000,6677800,2
2026-09-22T16:14:02+00:00,07_spark,100,59.3,43.2,102.5,112590,OK,110063,271413,681805,100000,6677800,2
2026-09-22T16:16:16+00:00,01_sql,100,91.7,41.6,133.3,72837,OK,110063,271413,681805,100000,6677800,3
2026-09-22T16:20:56+00:00,02_py_sequential,100,244.1,35.2,279.3,27353,OK,110063,271413,681805,100000,6677800,3
2026-09-22T16:22:12+00:00,03_py_copy,100,32.8,42.9,75.7,203315,OK,110063,271413,681805,100000,6677800,3
2026-09-22T16:23:14+00:00,04_multiproc,100,18.2,44.0,62.2,366575,OK,110063,271413,681805,100000,6677800,3
2026-09-22T16:25:01+00:00,07_spark,100,62.2,44.1,106.4,107288,OK,110063,271413,681805,100000,6677800,3
2026-09-22T16:27:14+00:00,05_celery,100,25.3,53.2,78.5,264234,OK,110063,271413,681805,100000,6677800,1
2026-09-22T16:28:29+00:00,05_celery,100,28.5,46.2,74.7,234350,OK,110063,271413,681805,100000,6677800,2
2026-09-22T16:29:39+00:00,05_celery,100,24.8,44.8,69.6,269801,OK,110063,271413,681805,100000,6677800,3
2026-09-22T16:34:34+00:00,06_airflow,100,159.6,50.3,209.9,41831,OK,110063,271413,681805,100000,6677800,1
2026-09-22T16:37:33+00:00,06_airflow,100,130.2,48.0,178.2,51270,OK,110063,271413,681805,100000,6677800,2
2026-09-22T16:40:13+00:00,06_airflow,100,101.4,58.3,159.7,65851,OK,110063,271413,681805,100000,6677800,3
2026-09-22T16:43:27+00:00,04_multiproc,100,50.7,42.2,92.9,131755,OK,110063,271413,681805,100000,6677800,1
2026-09-22T16:44:48+00:00,04_multiproc,100,53.5,27.1,80.6,124895,OK,110063,271413,681805,100000,6677800,2
2026-09-22T16:45:45+00:00,04_multiproc,100,32.0,24.8,56.8,208671,OK,110063,271413,681805,100000,6677800,3
2026-09-22T16:49:27+00:00,04_multiproc,100,13.6,27.4,41.0,492799,OK,110063,271413,681805,100000,6677800,1
